,Method,Metric,Variable,Run,Type,Value
56,MICE-DT,kl_divergence,deg-malig,1,Multiple,0.0016404918728942183
57,MICE-DT,kl_divergence,inv-nodes,1,Multiple,0.043241725885306614
58,MICE-DT,kl_divergence,irradiat,1,Multiple,0.0012658039218534534
59,MICE-DT,kl_divergence,menopause,1,Multiple,0.00025840953106842055
60,MICE-DT,kl_divergence,node-caps,1,Multiple,0.00015704195991799044
61,MICE-DT,kl_divergence,tumor-size,1,Multiple,0.0023114013533503818
62,MICE-DT,kl_divergence,age,2,Multiple,0.002811020495168062
63,MICE-DT,kl_divergence,breast,2,Multiple,1.0667612428725888e-05
64,MICE-DT,kl_divergence,breast-quad,2,Multiple,0.002896091451093288
65,MICE-DT,kl_divergence,class,2,Multiple,0.000643734811341383
66,MICE-DT,kl_divergence,deg-malig,2,Multiple,0.0024560200930504148
67,MICE-DT,kl_divergence,inv-nodes,2,Multiple,0.04509307054462655
68,MICE-DT,kl_divergence,irradiat,2,Multiple,0.00035444843835878963
69,MICE-DT,kl_divergence,menopause,2,Multiple,0.0006424253422864594
70,MICE-DT,kl_divergence,node-caps,2,Multiple,0.0001013822953556868
71,MICE-DT,kl_divergence,tumor-size,2,Multiple,0.1265330153355138
72,MICE-DT,cross_classification,Avg-CrCl,1,Single,1.3448029904965637
73,MICE-DT,cross_classification,Avg-CrCl,2,Single,1.231797020289648
74,MICE-DT,membership_disclosure,-,1,Single,0.7937062937062938
75,MICE-DT,membership_disclosure,-,2,Single,0.8321678321678322
76,MICE-DT,attribute_disclosure,-,1,Single,0.34558823529411764
77,MICE-DT,attribute_disclosure,-,2,Single,0.17647058823529413
78,MICE-LR,kl_divergence,age,1,Multiple,0.044129846380336894
79,MICE-LR,kl_divergence,breast,1,Multiple,1.0655049701941992e-05
80,MICE-LR,kl_divergence,breast-quad,1,Multiple,0.003285647798885755
81,MICE-LR,kl_divergence,class,1,Multiple,0.00031084181728668615
82,MICE-LR,kl_divergence,deg-malig,1,Multiple,0.0020158242645001746
83,MICE-LR,kl_divergence,inv-nodes,1,Multiple,0.0011602087489834907
84,MICE-LR,kl_divergence,irradiat,1,Multiple,0.0007542535361645393
85,MICE-LR,kl_divergence,menopause,1,Multiple,0.0010832994013843605
86,MICE-LR,kl_divergence,node-caps,1,Multiple,0.0002624320179249109
87,MICE-LR,kl_divergence,tumor-size,1,Multiple,0.006697815290319637
88,MICE-LR,kl_divergence,age,2,Multiple,0.0454435418679584
89,MICE-LR,kl_divergence,breast,2,Multiple,0.001073777503070322
90,MICE-LR,kl_divergence,breast-quad,2,Multiple,0.0015819439206976402
91,MICE-LR,kl_divergence,class,2,Multiple,0.00019979391000895464
92,MICE-LR,kl_divergence,deg-malig,2,Multiple,0.004866054519306235
93,MICE-LR,kl_divergence,inv-nodes,2,Multiple,0.004830712216199035
94,MICE-LR,kl_divergence,irradiat,2,Multiple,0.001653993798268581
95,MICE-LR,kl_divergence,menopause,2,Multiple,0.0010697838451356229
96,MICE-LR,kl_divergence,node-caps,2,Multiple,0.0038488193607920875
97,MICE-LR,kl_divergence,tumor-size,2,Multiple,0.008568019335829897
98,MICE-LR,cross_classification,Avg-CrCl,1,Single,1.0602226385308597
99,MICE-LR,cross_classification,Avg-CrCl,2,Single,1.0638628866375726
100,MICE-LR,membership_disclosure,-,1,Single,0.5559440559440559
101,MICE-LR,membership_disclosure,-,2,Single,0.5664335664335665
102,MICE-LR,attribute_disclosure,-,1,Single,0.025735294117647058
103,MICE-LR,attribute_disclosure,-,2,Single,0.03676470588235294
104,MPoM,kl_divergence,age,1,Multiple,0.01731830428247178
105,MPoM,kl_divergence,breast,1,Multiple,0.017955360844694644
106,MPoM,kl_divergence,breast-quad,1,Multiple,0.06041458050458084
107,MPoM,kl_divergence,class,1,Multiple,0.0008624619332801641
108,MPoM,kl_divergence,deg-malig,1,Multiple,0.0024839089903505723
109,MPoM,kl_divergence,inv-nodes,1,Multiple,0.060727486993538825
110,MPoM,kl_divergence,irradiat,1,Multiple,0.00393992858308662
111,MPoM,kl_divergence,menopause,1,Multiple,0.0013681390441594263
112,MPoM,kl_divergence,node-caps,1,Multiple,0.0023141648655377687
113,MPoM,kl_divergence,tumor-size,1,Multiple,0.14089684603326078
114,MPoM,kl_divergence,age,2,Multiple,0.04143944976566131
115,MPoM,kl_divergence,breast,2,Multiple,0.01337482019879767
116,MPoM,kl_divergence,breast-quad,2,Multiple,0.060487953912238046
117,MPoM,kl_divergence,class,2,Multiple,8.177654950366569e-05
118,MPoM,kl_divergence,deg-malig,2,Multiple,0.0013735801538302028
119,MPoM,kl_divergence,inv-nodes,2,Multiple,0.35460405727674155
120,MPoM,kl_divergence,irradiat,2,Multiple,0.03190015093903727
121,MPoM,kl_divergence,menopause,2,Multiple,0.024329168405127777
122,MPoM,kl_divergence,node-caps,2,Multiple,0.02818145460934516
123,MPoM,kl_divergence,tumor-size,2,Multiple,0.14145239449291974
124,MPoM,cross_classification,Avg-CrCl,1,Single,0.9764234724432004
125,MPoM,cross_classification,Avg-CrCl,2,Single,1.02397067453242
126,MPoM,membership_disclosure,-,1,Single,0.22727272727272727
127,MPoM,membership_disclosure,-,2,Single,0.24475524475524477
128,MPoM,attribute_disclosure,-,1,Single,0.01838235294117647
129,MPoM,attribute_disclosure,-,2,Single,0.01838235294117647
